X,Y,FID,Name
-9.348277127593938,53.448150327045077,1,New Village Forest Park
-9.367177157405012,53.549053241615006,2,Clonbur Wood
-9.284080021502801,53.539351373991245,3,Cong Forest Park
-9.537037384978911,53.471525428351178,4,Lackavrea Forest Park
-9.307896436403812,53.525926793382389,5,Ardnagaoithe
-9.618791635735834,53.347523626610474,6,An Crannóg Community Centre
-9.547314995536201,53.374995106613788,7,Cumann Forbartha na Foirneise
-8.806197603129071,53.141135731510865,8,Labane Hall
-9.16362751733627,53.461334838565996,9,Claran Community Hall
-9.321193680431618,53.427790751668361,10,Oughterard Community Centre
-8.188757614309708,53.151435061194654,11,Tiernascragh Hall and Pitch
-8.44726352047409,53.098744127210239,12,Ballinakill Hall
-8.385075106437483,53.38607371620369,13,Fohenagh Community Hall & Pitch
-8.333733963445072,53.396769922435162,14,Ahasgragh Community Hall
-8.906622513621587,53.306923660610465,15,Carnmore Community Centre
-8.939076520775572,53.139155375552399,16,Cultural & Heritage Information
-9.588981464464315,53.087116685129537,17,Halla Naomh Eoin
-8.486817546386696,53.38126262282605,18,Ballmacaward Community Centre
-9.493196948511443,53.237496048519198,19,Halla Tulaigh
-8.56648063986411,53.553324366539975,20,Kilkerrin Community Centre
-8.29170575281681,53.171700320687847,21,Killimor GAA
-8.56238994187612,53.161939881243363,22,Kilnadeema Hurling Club
-8.75016573205804,53.236489515208433,23,Craughwell Community Sports Group
-8.758619705285856,53.305386303626641,24,St. Marys GAA
-8.455107848061818,53.089331559336181,25,Ballinakill Sports Field
-8.887887476631619,53.438717942016169,26,Corofin United
-8.56241712085307,53.163944440206294,27,Leitrim Hurling club
-9.656035099794359,53.105554343518101,28,Oilean Arann GAA Pitch
-8.861019594122363,53.436398315649626,29,Corofin GAA Club
-9.282227903680146,53.542966152467621,30,Páirc Sheoige
-8.441935542453313,53.504431405270466,31,Shiven Rovers
-9.200551892329605,53.248550358253055,32,Connemara Coast Hotel
-8.726601566571825,53.438738412789689,33,St. Bernards Soccer Club
-8.983606626341675,53.573888586363829,34,Kilshanvey United Soccer Club
-9.603683379796106,53.257488137965112,35,Páirc An Chathanaith
-8.835739612332857,53.49412176792066,36,Tuam Golf Club
-10.143748606705355,53.42105142365817,37,Connemara Golf Club
-8.835253831034764,53.507749373179216,38,Tuam Rugby Club
-9.531871217945261,53.270836023258695,39,Community Pitch Rossaveal
-8.859102259187754,53.507697176088634,40,Tuam Celtic Soccer Club
-9.368844954229058,53.248039901698135,41,Cumann Peil Micheál Breathnach
-8.562434926754387,53.606697453913256,42,Glenamaddy Soccer Club
-9.609689198208622,53.385378011890822,43,Páirc an Phiarsaigh Ros Muc
-8.36719549296012,53.592942398305539,44,Creggs GAA Club
-9.633350117983156,53.315795386554129,45,Galf Chumann Oileáin Chonamara (Conemara Isles GC)
-8.362622974397365,53.595212004869218,46,Cregg Rugby Club
-9.769420133255283,53.59277023956114,47,Killary Adventure Centre
-8.854900060868088,53.510890739013512,48,St. Anthonys B.C.
-8.554222894695226,53.606160650168064,49,Glenamaddy GAA Complex
-8.558803019228785,53.201150829988293,50,Gort Rd Playground
-8.903481177966254,53.614503257193377,51,Milltown GAA
-8.580383831201312,53.197668507714319,52,Garrabride Playground
-9.112098707299436,53.466696609581483,53,Corrib Rugby Football Club
-8.22212641428705,53.090686311410181,54,Fair Green Playground
