X,Y,FID,Category,Ref,name,descriptio,long,lat,Email,Web,Phone
-10.036354064941399,53.980521924815498,1, ,MO137,Blackfield Surf School,Surf Lessons,-10.0363540649414,53.9805219248155,info@blackfield.com,http://www.blackfield.com,+353 (0)98 43590
-8.574829,53.889773,2,C1,RN1,Ballaghaderreen Cycling Club,Cycling Club,-8.574829,53.889773,ballaghaderreencyclingclub2012@hotmail.com, ,087 2584995 or 0867239978
-9.03078374,54.10929681,3, ,MO138,Bonniconlon,Walking Trail,-9.03078374,54.10929681,info@mayotrails.ie,www.mayotrails.com,094 904 7545
-8.451705,53.697926,4,C2,RN2,Donamon Dynamos Cycling Club,Cycling Club,-8.451705,53.697926,martinblighe@hotmail.com, ,086 9881433
-9.896793365478519,54.252589876865507,5, ,MO139,Broadhaven Marine Training,Powerboat & Jetski training,-9.89679336547852,54.2525898768655,amy@marinetraining.ie,http://www.marinetraining.ie,+353 (0)86 2422567
-8.261161,53.569472,6,C3,RN3,The Green Heartlands Cycle Route,"A gently undulating 217km course through farmland and forests, through bogs, rural villages and lakes.",-8.261161,53.569472,info@suckvalley.com,www.suckvalley.ie,090 6663602
-9.54615354537964,53.885630915011987,7, ,MO140,Burrishoole Loop Walks Comm,Develop loop walks in Burrishoole parish. Provide interpretation of local naural and cultural heritage,-9.54615354537964,53.885630915012,cfergus@southmayo.com, ,087 3748276
-8.626113,53.764429,8,C4,RN4,Lake O Flynn  Cycle Tour,A marked cycle route around Lake O Flynn,-8.626113,53.764429,gerry.mark@hotmail.com, ,071 9662145
-10.08740243,53.969809259999984,9, ,MO141,Calveys Equestrian Achill,"Discover Achill on horseback. Daily treks to Keel beach &  Slievemore mountain for all ages and abilities, from complete beginner to advanced riders. Homestay language and riding holidays also available for European students",-10.08740243,53.96980926,ponytrek@calveysofachill.com, ,087-9881093
-8.261161,53.569472,10,W1,RN5,Suck Valley Walk Way,Take the suck valley Way which follows the River Suck for 100km as it meanders into East Galway,-8.261161,53.569472,una@ridc.ie,www.suckvalleywaywalk.ie,090 6663602
